LbmClass,Categories,AcylChain,AlkylChain,SphingoChain,ExtraAcylChain,TotalChain
FA,Fatty acyls,1,0,0,0,1
FAHFA,Fatty acyls,1,0,0,1,1
OxFA,Fatty acyls,1,0,0,0,1
CAR,Fatty acyls,1,0,0,0,1
NAE,Fatty acyls,1,0,0,0,1
NAGly,Fatty acyls,1,0,0,1,1
NAGlySer,Fatty acyls,1,0,0,1,1
NAOrn,Fatty acyls,1,0,0,1,1
NATau,Fatty acyls,1,0,0,1,1
PA,Glycerophospholipids,2,0,0,0,2
PC,Glycerophospholipids,2,0,0,0,2
PE,Glycerophospholipids,2,0,0,0,2
PG,Glycerophospholipids,2,0,0,0,2
PI,Glycerophospholipids,2,0,0,0,2
PS,Glycerophospholipids,2,0,0,0,2
BMP,Glycerophospholipids,2,0,0,0,2
HBMP,Glycerophospholipids,3,0,0,0,3
EtherPC,Glycerophospholipids,1,1,0,0,2
EtherPE,Glycerophospholipids,1,1,0,0,2
EtherPI,Glycerophospholipids,1,1,0,0,2
EtherPS,Glycerophospholipids,1,1,0,0,2
EtherPG,Glycerophospholipids,1,1,0,0,2
OxPC,Glycerophospholipids,2,0,0,0,2
OxPS,Glycerophospholipids,2,0,0,0,2
OxPE,Glycerophospholipids,2,0,0,0,2
OxPG,Glycerophospholipids,2,0,0,0,2
OxPI,Glycerophospholipids,2,0,0,0,2
EtherOxPC,Glycerophospholipids,1,1,0,0,2
EtherOxPE,Glycerophospholipids,1,1,0,0,2
LPC,Glycerophospholipids,1,0,0,0,1
LPE,Glycerophospholipids,1,0,0,0,1
LPA,Glycerophospholipids,1,0,0,0,1
LPS,Glycerophospholipids,1,0,0,0,1
LPI,Glycerophospholipids,1,0,0,0,1
LPG,Glycerophospholipids,1,0,0,0,1
PMeOH,Glycerophospholipids,2,0,0,0,2
PEtOH,Glycerophospholipids,2,0,0,0,2
EtherLPC,Glycerophospholipids,0,1,0,0,1
EtherLPE,Glycerophospholipids,0,1,0,0,1
EtherLPG,Glycerophospholipids,0,1,0,0,1
LNAPE,Glycerophospholipids,2,0,0,0,2
LNAPS,Glycerophospholipids,2,0,0,0,2
MLCL,Glycerophospholipids,3,0,0,0,3
DLCL,Glycerophospholipids,2,0,0,0,2
CL,Glycerophospholipids,4,0,0,0,4
MG,Glycerolipids,1,0,0,0,1
DG,Glycerolipids,2,0,0,0,2
TG,Glycerolipids,3,0,0,0,3
MGDG,Glycerolipids,2,0,0,0,2
DGDG,Glycerolipids,2,0,0,0,2
SQDG,Glycerolipids,2,0,0,0,2
DGTS,Glycerolipids,2,0,0,0,2
DGTA,Glycerolipids,2,0,0,0,2
DGGA,Glycerolipids,2,0,0,0,2
ADGGA,Glycerolipids,3,0,0,0,3
LDGTS,Glycerolipids,1,0,0,0,1
LDGTA,Glycerolipids,1,0,0,0,1
LDGCC,Glycerolipids,1,0,0,0,1
DGCC,Glycerolipids,2,0,0,0,2
EtherMGDG,Glycerolipids,1,1,0,0,2
EtherDGDG,Glycerolipids,1,1,0,0,2
EtherTG,Glycerolipids,2,1,0,0,3
EtherDG,Glycerolipids,1,1,0,0,2
EtherSMGDG,Glycerolipids,1,1,0,0,2
SMGDG,Glycerolipids,2,0,0,0,2
Sph,Sphingolipids,1,0,0,0,1
DHSph,Sphingolipids,1,0,0,0,1
PhytoSph,Sphingolipids,1,0,0,0,1
SM,Sphingolipids,2,0,0,0,2
CerP,Sphingolipids,1,0,1,0,2
Cer_ADS,Sphingolipids,1,0,1,0,2
Cer_AS,Sphingolipids,1,0,1,0,2
Cer_BDS,Sphingolipids,1,0,1,0,2
Cer_BS,Sphingolipids,1,0,1,0,2
Cer_EODS,Sphingolipids,1,0,1,1,2
Cer_EOS,Sphingolipids,1,0,1,1,2
Cer_NDS,Sphingolipids,1,0,1,0,2
Cer_NS,Sphingolipids,1,0,1,0,2
Cer_NP,Sphingolipids,1,0,1,0,2
Cer_AP,Sphingolipids,1,0,1,0,2
Cer_EBDS,Sphingolipids,1,0,1,1,2
Cer_HS,Sphingolipids,1,0,1,0,2
Cer_HDS,Sphingolipids,1,0,1,0,2
HexCer_NS,Sphingolipids,1,0,1,0,2
HexCer_NDS,Sphingolipids,1,0,1,0,2
HexCer_AP,Sphingolipids,1,0,1,0,2
HexCer_HS,Sphingolipids,1,0,1,0,2
HexCer_HDS,Sphingolipids,1,0,1,0,2
HexCer_EOS,Sphingolipids,1,0,1,1,2
Hex2Cer,Sphingolipids,1,0,1,0,2
Hex3Cer,Sphingolipids,1,0,1,0,2
SHexCer,Sphingolipids,1,0,1,0,2
GM3,Sphingolipids,1,0,1,0,2
AHexCer,Sphingolipids,2,0,1,0,3
ASM,Sphingolipids,1,0,1,1,8
PE_Cer,Sphingolipids,2,0,0,0,2
PI_Cer,Sphingolipids,2,0,0,0,2
SL,Sphingolipids,2,0,0,0,2
Ac2PIM1,Glycerophospholipids,2,0,0,0,2
Ac2PIM2,Glycerophospholipids,2,0,0,0,2
Ac3PIM2,Glycerophospholipids,3,0,0,0,2
Ac4PIM2,Glycerophospholipids,4,0,0,0,2
LipidA,Saccharolipids,4,0,0,2,4
Vitamin_E,Prenol Lipids,0,0,0,0,0
Vitamin_D,Sterol Lipids,0,0,0,0,0
CoQ,Prenol Lipids,0,0,0,0,0
CE,Sterol Lipids,1,0,0,0,1
DCAE,Sterol Lipids,1,0,0,0,1
GDCAE,Sterol Lipids,1,0,0,0,1
GLCAE,Sterol Lipids,1,0,0,0,1
TDCAE,Sterol Lipids,1,0,0,0,1
TLCAE,Sterol Lipids,1,0,0,0,1
BileAcid,Sterol Lipids,0,0,0,0,0
VAE,Prenol Lipids,1,0,0,0,1
BRSE,Sterol Lipids,1,0,0,0,1
CASE,Sterol Lipids,1,0,0,0,1
SISE,Sterol Lipids,1,0,0,0,1
STSE,Sterol Lipids,1,0,0,0,1
AHexBRS,Sterol Lipids,1,0,0,0,1
AHexCAS,Sterol Lipids,1,0,0,0,1
AHexCS,Sterol Lipids,1,0,0,0,1
AHexSIS,Sterol Lipids,1,0,0,0,1
AHexSTS,Sterol Lipids,1,0,0,0,1
SHex,Sterol Lipids,0,0,0,0,0
SSulfate,Sterol Lipids,0,0,0,0,0
BASulfate,Sterol Lipids,0,0,0,0,0
LCAE,Sterol Lipids,1,0,0,0,1
KLCAE,Sterol Lipids,1,0,0,0,1
KDCAE,Sterol Lipids,1,0,0,0,1
MMPE,Glycerophospholipids,2,0,0,0,2
DMPE,Glycerophospholipids,2,0,0,0,2
MIPC,Unknown,2,0,0,0,2
EGSE,Sterol Lipids,1,0,0,0,1
DEGSE,Sterol Lipids,1,0,0,0,1
DSMSE,Sterol Lipids,1,0,0,0,1
OxTG,Glycerolipids,3,0,0,0,3
TG_EST,Glycerolipids,3,0,0,1,3
GPNAE,Glycerophospholipids,1,0,0,0,1
DGMG,Glycerolipids,2,0,0,0,2
MGMG,Glycerolipids,2,0,0,0,2
GD1a,Sphingolipids,2,0,0,0,2
GD1b,Sphingolipids,2,0,0,0,2
GD2,Sphingolipids,2,0,0,0,2
GD3,Sphingolipids,2,0,0,0,2
GM1,Sphingolipids,2,0,0,0,2
GQ1b,Sphingolipids,2,0,0,0,2
GT1b,Sphingolipids,2,0,0,0,2
NGcGM3,Sphingolipids,2,0,0,0,2
ST,Sterol Lipids,0,0,0,0,0
