"lipid_class","scope_type","matched_rule_ids","selected_rule_id","priority","score","no_chain","ignore_sum_only","split","split_mode","exclude_first_chain","detect_fa_suffix","detect_fa_tail","drop_zero_chains","prefer_molecular_notation","notes","behavior_summary"
"Ac2PIM1","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"Ac2PIM2","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"Ac3PIM2","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"Ac4PIM2","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"ADGGA","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"AHexCer","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"ASG","literal","asg_drop_sterol","asg_drop_sterol","195","195072","False","True","auto","","True","True","True","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses. Extract trailing 'FA xx:y' notation outside parentheses."
"ASHexCer","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"ASM","literal","ceramide_force_drop_base","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"BA","literal","bile_acid","bile_acid","200","200084","True","False","","","False","False","False","False","False","","No acyl-chain metadata is extracted."
"BMP","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"BRSE","literal","steryl_ester","steryl_ester","190","190098","False","True","auto","","True","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"CAR","literal","acylcarnitine","acylcarnitine","110","110005","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"CASE","literal","steryl_ester","steryl_ester","190","190098","False","True","auto","","True","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"CE","literal","cholesteryl_ester","cholesteryl_ester","110","110004","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"Cer","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"CerP","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"CL","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DEGSE","literal","steryl_ester","steryl_ester","190","190098","False","True","auto","","True","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"DG","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DGCC","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DGDG","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DGGA","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DGTS","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DLCL","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
