"rule_id","class_regex","scope_type","scope_label","priority","score","no_chain","ignore_sum_only","split","split_mode","exclude_first_chain","detect_fa_suffix","detect_fa_tail","drop_zero_chains","prefer_molecular_notation","behavior_summary"
"spb_no_chain","^SPB$","literal","SPB","230","230085","True","False","","","False","False","False","False","False","No acyl-chain metadata is extracted."
"ngcgm3","^NGcGM3$","literal","NGcGM3","220","220088","True","False","","","False","False","False","False","False","No acyl-chain metadata is extracted."
"sterol_free","^ST$","literal","ST","210","210084","True","False","","","False","False","False","False","False","No acyl-chain metadata is extracted."
"bile_acid","^BA$","literal","BA","200","200084","True","False","","","False","False","False","False","False","No acyl-chain metadata is extracted."
"triglyceride","^TG$","literal","TG","200","200039","False","True","auto","","False","True","False","True","False","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Extract FA-style chains from final parentheses. Remove zero chains such as 0:0."
"asg_drop_sterol","^ASG$","literal","ASG","195","195072","False","True","auto","","True","True","True","False","False","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses. Extract trailing 'FA xx:y' notation outside parentheses."
"steryl_ester","^(SE|CASE|BRSE|SISE|STSE|EGSE|DEGSE|DSMSE)$","literal_set","SE, CASE, BRSE, SISE, STSE, EGSE, DEGSE, DSMSE","190","190098","False","True","auto","","True","True","False","False","False","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"gm3_mixed_notation","^GM3$","literal","GM3","185","185060","False","True","/","literal","True","True","False","False","False","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"ceramide_force_drop_base","^(Cer|HexCer|AHexCer|ASHexCer|PE-Cer|SL|CerP|Hex3Cer|Hex2Cer|SHexCer|ASM|GM3|GD1a|GD1b|GD2|GD3|GM1|GT1b|SM)$","literal_set","Cer, HexCer, AHexCer, ASHexCer, PE-Cer, SL, CerP, Hex3Cer, Hex2Cer, SHexCer, ASM, GM3, GD1a, GD1b, GD2, GD3, GM1, GT1b, SM","180","180163","False","True","/","literal","True","True","False","False","False","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"cer_subclass_force_drop_base","^Cer_.+$","pattern_family","Cer_*","170","170063","False","True","/","literal","True","True","False","False","False","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"lnape","^(LPE-N|LPS-N|LNAPE)$","literal_set","LPE-N, LPS-N, LNAPE","150","150031","False","False","auto","","False","True","False","False","False","Split order: '/' -> '_' -> whitespace -> unsplit. Extract FA-style chains from final parentheses."
"oxidized_fatty_acid","^OxFA$","literal","OxFA","130","130006","False","False","auto","","False","False","False","False","False","Split order: '/' -> '_' -> whitespace -> unsplit."
"fatty_acid","^FA$","literal","FA","120","120004","False","False","auto","","False","False","False","False","False","Split order: '/' -> '_' -> whitespace -> unsplit."
"acylcarnitine","^CAR$","literal","CAR","110","110005","False","False","auto","","False","False","False","False","False","Split order: '/' -> '_' -> whitespace -> unsplit."
"cholesteryl_ester","^CE$","literal","CE","110","110004","False","False","auto","","False","False","False","False","False","Split order: '/' -> '_' -> whitespace -> unsplit."
"vae","^VAE$","literal","VAE","105","105005","False","False","auto","","False","False","False","False","False","Split order: '/' -> '_' -> whitespace -> unsplit."
"phospholipid","^(PA|PC|PE|PG|PI|PS|PT|LPA|LPC|LPE|LPG|LPI|LPS|NATau)$","literal_set","PA, PC, PE, PG, PI, PS, PT, LPA, LPC, LPE, LPG, LPI, LPS, NATau","90","90059","False","False","auto","","False","False","False","True","False","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"glycerolipid","^(DG|MG|ADGGA|DGCC|DGGA|DGTS|LDGCC|LDGTS|DGDG|MGDG|SQDG|MGMG|SMGDG|BMP|HBMP|CL|DLCL|MLCL|Ac2PIM1|Ac2PIM2|Ac3PIM2|Ac4PIM2|PEtOH|PMeOH|DMPE|MMPE)$","literal_set","DG, MG, ADGGA, DGCC, DGGA, DGTS, LDGCC, LDGTS, DGDG, MGDG, SQDG, MGMG, SMGDG, BMP, HBMP, CL, DLCL, MLCL, Ac2PIM1, Ac2PIM2, Ac3PIM2, Ac4PIM2, PEtOH, PMeOH, DMPE, MMPE","70","70144","False","False","auto","","False","False","False","False","False","Split order: '/' -> '_' -> whitespace -> unsplit."
"sphingolipid_generic","^(Cer|HexCer|SM|SHexCer|GM3|GD1a|GD1b|GD2|GD3|GM1|GQ1b|GT1b|NGcGM3|Hex2Cer|Hex3Cer|PE-Cer|SL|CerP|AHexCer|ASHexCer)$","literal_set","Cer, HexCer, SM, SHexCer, GM3, GD1a, GD1b, GD2, GD3, GM1, GQ1b, GT1b, NGcGM3, Hex2Cer, Hex3Cer, PE-Cer, SL, CerP, AHexCer, ASHexCer","60","60136","False","True","/","literal","False","False","False","False","False","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent."
